algorithm,compression_ratio,budget,runtime_seconds,memory_mb,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
sw,5.016949152542373,177,28.506638765335083,0.02739715576171875,99.24508561307395,1.5403015037714007,147.16966138391948,1.5403015037714007,74.43280395307671,720.667018685612,1.834515909062613,34799013.505881324,888,177,0,888,,,,,,,
sw,10.090909090909092,88,29.99538516998291,0.02032756805419922,296.94319380541555,3.9579471125459076,298.5071274908207,3.9579471125459076,72.51280978812663,681.587165450697,1.8429631511320117,34184441.92031693,888,88,0,888,,,,,,,
rw,2.0,444,0.7779722213745117,0.0806427001953125,97.98275724993152,1.785240915261678,97.98275724993152,1.785240915261678,92.3977064985276,701.0959758281043,1.8310379613571681,36568526.89635424,888,444,0,888,,,,,,,
rw,5.285714285714286,177,0.4168682098388672,0.029839515686035156,118.44015867426735,5.424916592861826,118.44015867426735,5.424916592861826,98.15187381825315,687.6315375294504,1.8401886045033422,36285208.61509113,888,168,0,888,,,,,,,
rw,10.206896551724139,88,0.32854485511779785,0.01787567138671875,118.86439665653565,10.923262069788445,123.54203376350414,10.923262069788445,82.81979896338632,634.8194315149867,1.8682320131923287,35305162.16221211,888,87,0,888,,,,,,,
proposed,2.0,444,0.8296945095062256,0.15183544158935547,332.18861395887217,1.8754865607411697,332.18861395887217,1.8754865607411697,8.34447956526505,3.3912847509067703,0.227848781946884,16105.666382712552,888,444,0,888,0.9669117647058824,1.0,272.0,263.0,1.0,10.0,10.0
proposed,5.016949152542373,177,1.0141444206237793,0.1449136734008789,553.4553809707684,18.283007093823883,553.9417734638419,18.283007093823883,29.890716495852498,34.238512804887215,0.6452624001056942,555632.1114262133,888,177,0,888,0.7794117647058824,0.9,272.0,212.0,0.9,10.0,9.0
proposed,10.090909090909092,88,1.1019597053527832,0.14319610595703125,764.1713292752423,39.299685378671114,1131.3805836395684,39.299685378671114,41.095718704842334,58.183319845876426,0.8073285866788585,984347.591656308,888,88,0,888,0.7169117647058824,0.6,272.0,195.0,0.6,10.0,6.0
original,1.0,104,0.002178192138671875,0.006035804748535156,0.0,0.0,0.0,0.0,72.6254336433681,16.08778002688601,0.5066038540049012,70130.11133132406,209,209,1,209,,,,,,,
original,1.0,41,0.0009188652038574219,0.005673408508300781,0.0,0.0,0.0,0.0,72.6254336433681,16.08778002688601,0.5066038540049012,70130.11133132406,209,209,1,209,,,,,,,
original,1.0,20,0.001003265380859375,0.005673408508300781,0.0,0.0,0.0,0.0,72.6254336433681,16.08778002688601,0.5066038540049012,70130.11133132406,209,209,1,209,,,,,,,
dp,8.038461538461538,104,1.9107646942138672,0.026719093322753906,248.09690320866417,6.712490596214211,248.09690320866417,6.716048539825125,73.89216323843534,13.621903707690736,0.48236831982052486,61019.25513416171,209,26,1,209,,,,,,,
dp,5.225,41,0.6532785892486572,0.020400047302246094,244.026163203135,4.223275515679585,244.026163203135,4.223275515679585,95.91858626757167,27.342074719667423,0.5211626615432444,96541.56380812329,209,40,1,209,,,,,,,
dp,11.0,20,0.4833245277404785,0.0176544189453125,84.67461783984295,1.5649275529286677,84.67461783984295,1.5649275529286677,102.97860772658635,30.295435391818792,0.4751242574409527,89321.19298869495,209,19,1,209,,,,,,,
squish,2.0096153846153846,104,0.31781625747680664,0.01627349853515625,6.492670454552929,0.13147423770839792,6.749523531187151,0.13147423770839792,86.01038870254968,22.843020291038375,0.45761266387357363,82210.14258524698,209,104,1,209,,,,,,,
